year,platform,artist_name,song_name,release_date,language
2012,song of the year,"Григорий Лепс, Тимати - Лондон",Песня Года,,russian
2012,song of the year,Бурановские Бабушки,Party For Everybody,,russian
2012,song of the year,Кристина Орбакайте,Ультрафиолет,,russian
2012,song of the year,Николай Басков,Странник,,russian
2012,song of the year,Нюша,Выше,,russian
2012,song of the year,Александр Серов,Ты Меня Любишь,,russian
2012,song of the year,Елена Ваенга,Где Была,,russian
2012,song of the year,Дмитрий Маликов,"Прости, Любимая, Прости",,russian
2012,song of the year,Алсу,Я К Тебе Не Подойду,,russian
2012,song of the year,Сергей Лазарев,Take It Off,,russian
2012,song of the year,Таисия Повалий,Я Помолюсь За Тебя,,russian
2012,song of the year,Иосиф Кобзон,Ноктюрн,,russian
2012,song of the year,Ани Лорак,Обними Меня,,russian
2012,song of the year,Владимир Пресняков,Некудышный Ангел,,russian
2012,song of the year,"Dj Анатоль, Анатолий Ярмоленко, Виа Сябры",Завалинка,,russian
2012,song of the year,Лайма Вайкуле,Старый Друг,,russian
2012,song of the year,Стас Пьеха,Старая История,,russian
2012,song of the year,Niloo,"Ola, Ola",,russian
2012,song of the year,Александр Буйнов,Две Жизни,,russian
2012,song of the year,"Потап, Настя Каменских",Прилелето,,russian
2012,song of the year,Lara Fabian,Karma,,russian
2012,song of the year,Кабриолет,Между Небом И Землей,,russian
2012,song of the year,Анжелика Варум,Нарисуй Любовь,,russian
2012,song of the year,"Дискотека Авария, Джиган, Вика Крутая",Карнавал,,russian
2012,song of the year,София Ротару,Мы Будем Вместе,,russian
2012,song of the year,"София Ротару, Николай Басков",Я Найду Свою Любовь,,russian
2012,song of the year,Все Участники,Песня Остается С Человеком,,russian
2012,song of the year,Валерий Меладзе,Потерян И Не Найден,,russian
2012,song of the year,Ирина Аллегрова,Наводнение,,russian
2012,song of the year,Стас Михайлов,Джокер,,russian
2012,song of the year,Вера Брежнева,Бессонница,,russian
2012,song of the year,"Леонид Агутин, Thomas Nevergreen",Ай-Яй-Яй,,russian
2012,song of the year,Валерия,Я Тебя Отпустила,,russian
2012,song of the year,Игорь Николаев,Мы Совпали,,russian
2012,song of the year,Елка,Около Тебя,,russian
2012,song of the year,Дима Билан,"Так, Так Не Бывает",,russian
2012,song of the year,Жасмин,От Любви До Любви,,russian
2012,song of the year,Лев Лещенко,Эхо Любви,,russian
2012,song of the year,Полина Гагарина,Спектакль Окончен,,russian
2012,song of the year,Григорий Лепс,Водопадом,,russian
2012,song of the year,Юлия Савичева,Юлия,,russian
2012,song of the year,Борис Моисеев,Лучший Из Мужчин,,russian
2012,song of the year,Аида,Нежность,,russian
2012,song of the year,Иван Дорн,Стыцадорн,,russian
2012,song of the year,Рада Рай,Территория Любви,,russian
2012,song of the year,Валерий Леонтьев,Попурри Из Своих Песен,,russian
2012,song of the year,София Ротару,Белая Зима,,russian
2012,song of the year,Олег Газманов,Домой,,russian
2012,song of the year,А-Студио,Просто Прощай,,russian
2012,song of the year,Лариса Долина,В Книжке Телефонной,,russian
2012,song of the year,"Сергей Лазарев, Лера Кудрявцева, Лев Лещенко, Валерий Меладзе, Лариса Долина, Ани Лорак",Новогодняя Песня,,russian
2011,song of the year,Эдита Пьеха,На Тебе Сошелся Клином Белый Свет,,russian
2011,song of the year,"Валерия, Николай Басков",Сохранив Любовь,,russian
2011,song of the year,"Филипп Киркоров, Настя Петрик",Снег,,russian
2011,song of the year,Лайма Вайкуле,Огоньки,,russian
2011,song of the year,«Дискотека Авария»,Диско 10-Х,,russian
