year,platform,artist_name,song_name,release_date,language
2025,apple,Jimin,Who,2024-07-19,english
2025,apple,Джиган,Худи,2024-10-22,russian
2025,apple,Jakone,Асфальт,2024-06-30,russian
2025,apple,V,Winter Ahead,2024-11-29,english
2025,apple,Ay Yola,Homay,2025-03-29,bashkir
2025,apple,Женя Трофимов,Поезда,2024-01-10,russian
2025,apple,Женя Трофимов,Самолеты,2024-12-11,russian
2025,apple,Miyagi & Andy Panda (Эндшпиль),I Got Love,2017-09-12,russian
2025,apple,Xolidayboy,Пожары,2024-03-12,russian
2025,apple,Anna Asti,Царица,2023-07-14,russian
2025,apple,Jimin,Be Mine,,english
2025,apple,Женя Трофимов,Привет,2024-12-19,russian
2025,apple,Татьяна Куртукова,Матушка,2024-03-03,russian
2025,apple,Bearwolf,Валькирия,2025-02-04,russian
2025,apple,Баста,На заре,,russian
2025,apple,Баста,Сансара,2017-04-24,russian
2025,apple,Anna Asti,По барам,2022-07-05,russian
2025,apple,Гио Пика,Мир,2024-04-28,russian
2025,apple,Macan,Asphalt 8,2023-04-09,russian
2025,apple,HammAli & Navai,Птичка,2021-07-01,russian
2025,apple,Mona,Город дорог,2024-11-13,russian
2025,apple,Navai,Есенин,2024-03-14,russian
2025,apple,Artik & Asti,Гармония,2022-01-23,russian
2025,apple,Zivert,Beverly Hills,,russian
2025,apple,Скриптонит,Положение,,russian
2025,apple,Баста,Неболей,2020-08-16,russian
2025,apple,Король и шут,Кукла колдуна,2010-10-24,russian
2025,apple,Zivert,Зеленые волны,,russian
2025,apple,Zivert,Credo,2019-09-29,russian
2025,apple,Artik & Asti,Девочка танцуй,2020-02-12,russian
2025,apple,Kizaru,Fake ID,2025-04-14,russian
2025,apple,Icegergert,Наследство,2025-04-28,russian
2025,apple,Бонд с кнопкой,Кухни,2025-03-05,russian
2025,apple,Скриптонит,Цепи,,russian
2025,apple,Скриптонит,Не расслабляйся,,russian
2025,apple,Антон Токарев,Седьмой лепесток,2022-03-17,russian
2025,apple,Mona,Иордан,2025-06-06,russian
2025,apple,Elman,С неба,2025-04-30,russian
2025,apple,Jung Kook,Seven,2023-07-16,english
2025,apple,Andy Panda (Эндшпиль),10,2025-06-28,russian
2025,apple,Zivert,Эгоистка,2024-12-05,russian
2025,apple,Король и шут,Лесник,2012-09-23,russian
2025,apple,Jakone,По весне,2023-04-26,russian
2025,apple,Ваня Дмитриенко,Настоящая,2025-04-18,russian
2025,apple,Slava Skripka,Бобр,2025-01-02,russian
2025,apple,T-Fest,Давай сконнектимся,2025-06-23,russian
2025,apple,Мот,Абсолютно всё,2015-10-19,russian
2025,apple,Jakone,Дорога дальняя,2024-03-06,russian
2025,apple,Xolidayboy,Океаны,2024-06-28,russian
2025,apple,Ваня Дмитриенко,Шёлк,2025-07-18,russian
2025,apple,Obladaet,Name,2025-03-05,russian
2025,apple,Xolidayboy,Love Again,2025-04-25,english
2025,apple,Icegergert,Гектор,2025-01-09,russian
2025,apple,A.V.G,Спой,2024-02-04,russian
2025,apple,Macan,Здравствуй,2025-07-19,russian
2025,apple,Sqwoz Bab,Tokio,2025-03-02,russian
2025,apple,Macan,Пусть Бог будет рядом с твоими планами,2025-07-21,russian
2025,apple,Falling In Reverse,God Is A Weapon,,english
2025,apple,5утра,Давай сбежим (Искорки),2023-07-20,russian
2025,apple,Icegergert,Casino,2024-12-01,russian
2025,apple,Тима ищет свет,Волна,2025-01-23,russian
2025,apple,Sabi,Базовый минимум,2025-08-04,russian
2025,apple,Кравц,Где прошла ты,2023-04-29,russian
2025,apple,ATLXS,Passo Bem Solto (Slowed),2025-03-10,portuguese
2025,apple,Friendly Thug 52 Ngg,No Gletcher Gang 2,2025-04-25,russian
2025,apple,Misha Miller,Bam Bam,2024-12-13,romanian
2025,apple,Macan,Запрещаю забывать,2025-07-19,russian
2025,apple,Tigo,Планы на завтра,2024-12-30,russian
2025,apple,Akmal',Мир нам завидовал,2024-09-02,russian
2025,apple,Три Дня Дождя,Прощание,2023-11-26,russian
2025,apple,Solidnaya,Пахнешь как,2025-04-07,russian
2025,apple,Zivert,Гудбай,2025-07-13,russian
2025,apple,Akmal',Ты мне покажи...,2025-02-27,russian
2025,apple,Zivert,Один процент,2025-04-29,russian
2025,apple,Morgenshtern,Повод,2025-02-17,russian
2025,apple,Инь-Ян,Oh Yeah,2012-09-17,russian
2025,apple,Xolidayboy,Моя хулиганка,2023-03-21,russian
2025,apple,Icegergert,Amsterdam,2025-01-22,russian
2025,apple,Macan,Неужели это все любовь?,2025-07-19,russian
2025,apple,V $ X V Prince,Пусто,2025-08-14,russian
2025,apple,Madk1d,Так пох*й,2025-03-24,russian
2025,apple,Icegergert,Hoodtrapstar,2025-05-29,russian
2025,apple,Ваня Дмитриенко,Вишнёвый,2024-11-15,russian
2025,apple,Macan,L,2025-04-20,russian
2025,apple,Anna Asti,Топит,2024-10-29,russian
2025,apple,Black Eyed Peas,Rock That Body,2010-04-22,english
2025,apple,Скриптонит,Танцуй сама,,russian
2025,apple,Macan,Привыкаю,2024-08-11,russian
2025,apple,Macan,Jet,2025-07-19,russian
2025,apple,Umi,Wherever U R,2024-01-02,english
